sentence,entities,gt_relation,pred_relation,pred_edge,is_edge_test_contradictory,exec_time
We have dumped the spam into the junk folder.,"['spam', 'junk folder']",6,0,"('spam', 'junk folder')",True,00:00:41
The violinist produces sound by drawing a bow across one or more strings (which may be stopped by the fingers of the other hand).,"['violinist', 'bow']",11,-1,[],False,00:00:35
All of the data is stored in a Microsoft Access database.,"['data', 'database']",4,-1,[],False,00:00:37
These companies have delivered new products or service to their clients.,"['products', 'clients']",6,-1,[],False,00:00:46
The current debate swirling around Leather's comments seems to suggest both.,"['debate', 'comments']",14,1,"('comments', 'debate')",False,00:00:17
I have just bought a silver necklace from a lady who makes her own jewellery with the fingerprints of my children on it.,"['silver', 'necklace']",18,0,"('silver', 'necklace')",True,00:00:38
These breakdown products are not only losses of sucrose but also have knock-on effects reducing the final output of processed sugar from the factory.,"['sugar', 'factory']",16,-1,[],False,00:00:30
"The flour was in a bin about six feet square, by four feet high, and only a small round hole at the top.","['flour', 'bin']",4,-1,[],False,00:00:17
"The Earth's thin, rocky crust is composed of silicon, aluminum, calcium, sodium and potassium.","['crust', 'silicon']",18,-1,[],False,00:00:19
The sows were moved into isolated farrowing houses at least 5 days before farrowing.,"['sows', 'houses']",6,-1,[],False,00:00:46
"MFX colours are implemented at the design stage, where the designer creates artwork using the MetalFX colour palettes and actions.","['designer', 'palettes']",11,-1,[],False,00:00:38
The horizontal branch is a part of the Hertzsprung -Russell (H-R) diagram that represents stars that burn helium in thier cores.,"['branch', 'diagram']",2,-1,[],False,00:00:28
The painting was one of the first used as a poster in an advertising campaign for soap powder.,"['advertising campaign', 'soap powder']",14,1,"('soap powder', 'advertising campaign')",False,00:00:18
"While making observations of the microfossil through the binocular microscope or on a computer monitor, the investigator needed to manually move the specimen.","['observations', 'microscope']",18,1,"('microscope', 'observations')",False,00:00:22
"Cuba is already a customer and now the state development bank, BNDES, plans to finance the export of ethanol knowhow to Africa, where the hopes of countries such as Ghana are pinned on the jatropha plant.","['jatropha', 'plant']",16,-1,[],False,00:00:16
"The nuclear hormone receptor superfamily consists of structurally related, ligand-dependent transcription factors and a large number of orphan receptors for which the ligand has not yet been identified.","['superfamily', 'factors']",3,0,"('superfamily', 'factors')",False,00:00:22
"When a watch of nightingales is at the height of breeding season, the males serenade their prospective brides with one of the most glorious and celebrated bird songs there is.","['watch', 'nightingales']",13,-1,[],False,00:00:33
Pet owners have released pythons into the wild when they had grown too large for the owners to care for them.,"['pythons', 'wild']",6,-1,[],False,00:00:19
Biddle has done a thorough job of cutting through the thicket of contradictions and fantasies that surround the strategic bombing debate from 1914 to 1945.,"['thicket', 'contradictions']",18,1,"('contradictions', 'thicket')",False,00:00:20
Three houses are handed over to beneficiaries.,"['houses', 'beneficiaries']",6,1,"('beneficiaries', 'houses')",True,00:00:34
"The term Baroque was derived from a Portuguese word meaning ""a pearl of irregular shape"".","['term', 'word']",8,1,"('word', 'term')",False,00:00:14
The former prime minister's daughter made numerous offensive comments about a French mixed-race tennis player.,"['daughter', 'comments']",17,0,"('daughter', 'comments')",False,00:00:11
"A freight train on the Chicago and Alton Railroad, while approaching this city yesterday morning, dashed into a drove of cattle, killing three of them.","['drove', 'cattle']",13,-1,[],False,00:00:26
This Italian dish is made with gelatinous veal shanks that are braised with fresh vegetables and rich stock.,"['dish', 'shanks']",3,1,"('shanks', 'dish')",False,00:00:23
Pink Kodiak is coming in like a rake of colts.,"['rake', 'colts']",13,-1,[],False,00:00:23
"On 29 August 1914, C Squadron of the 12th Lancers made a successful charge against a dismounted squadron of Prussian dragoons.","['squadron', 'dragoons']",13,-1,[],False,00:00:50
This manuscript describes two specific features that we have found to be effective in generating high quality models.,"['manuscript', 'features']",14,-1,[],False,00:00:23
He put the card into his mobile phone.,"['card', 'mobile phone']",6,0,"('card', 'mobile phone')",True,00:00:37
"Joseph Herrin, a dear brother in the Lord, has added insight into the message.","['insight', 'message']",6,1,"('message', 'insight')",False,00:00:24
Purely textual posters advertised the plays of Shakespeare and made citizens aware of government proclamations for centuries.,"['posters', 'plays']",14,1,"('plays', 'posters')",False,00:00:16
"The conceptual foundation for creation of the Internet was largely created by three individuals and a research conference, each of which changed the way we thought about technology by accurately predicting its future.","['foundation', 'individuals']",16,1,"('individuals', 'foundation')",False,00:00:17
"Following the convention's sports theme, we placed a fun invitation with an AstroTurf look inside a branded water bottle.","['invitation', 'bottle']",6,-1,[],False,00:00:21
A dissimulation of small birds arrived near our place last week and took over our tree outside.,"['dissimulation', 'birds']",13,-1,[],False,00:00:22
This study presents a comprehensive methodology for calculating the cost to society of various criminal acts.,"['society', 'acts']",18,-1,[],False,00:00:23
The launcher released a satellite into geosynchronous transfer orbit at 23.31 GMT.,"['satellite', 'orbit']",6,-1,[],False,00:00:20
"In Western Australia, the helve of the hatchet is pointed and the natives, after making the notch, stick the tool in the bark and lift themselves up with it.","['helve', 'hatchet']",2,-1,[],False,00:00:25
A wisp of snipes utter their well known cry and scud over the heath; one of these is secured.,"['wisp', 'snipes']",13,-1,[],False,00:00:36
The fad started when a certain brand of socks manufactured by an American company became popular among Japanese schoolgirls.,"['brand', 'company']",18,1,"('company', 'brand')",False,00:00:21
In a taped interview she recounted two occasions on which she had lent money.,"['interview', 'occasions']",14,-1,[],False,00:00:26
An unnamed lifeguard was pushed into the pool.,"['lifeguard', 'pool']",6,-1,[],False,00:00:22
"When we were in junior high school, my friend made a map of the school lunch tables according to popularity.","['friend', 'map']",17,0,"('friend', 'map')",False,00:00:18
"After 5 minutes or so, the problem went away from an operational perspective.","['problem', 'perspective']",18,-1,[],False,00:00:22
"Frazerian theory of corn spirits and fertility and have thus needed to enquire no further, so their distribution and function remains unclear.","['corn', 'spirits']",18,-1,[],False,00:00:22
The author cites the case of an American citizen during the general war.,"['author', 'case']",18,-1,[],False,00:00:38
The cover of the magazine featured the famous image of Einstein taken in 1947 by American portrait photographer Philippe Halsman.,"['cover', 'magazine']",2,1,"('magazine', 'cover')",True,00:00:32
Two other structures in the depth of the midbrain that are important for normal motor function are the red nucleus (not visible) and the substantia nigra.,"['midbrain', 'nucleus']",3,-1,[],False,00:00:18
"On 8 February 1992, Ulysses reached Jupiter for the gravity-assist manoeuvre that placed the spacecraft in a polar orbit.","['spacecraft', 'orbit']",6,0,"('spacecraft', 'orbit')",False,00:00:21
"A tealight, or nightlight, is a candle used in tea or food warmers or (because they last for many hours) as a night light.","['candle', 'warmers']",2,-1,[],False,00:00:39
The painter continues adding paint on top of still wet paint rather than waiting a lengthy amount of time to allow each layer of paint to dry.,"['painter', 'paint']",11,0,"('painter', 'paint')",False,00:00:16
"The new bratpack of boys, be it Ranbir or Imran or Shahid or Neil, are way too 'Chikna' to be taken seriously as action heroes and the slightly senior Abhishek Bachchan, John Abraham and Hrithik Roshan are content playing roles that require sophistication.","['bratpack', 'boys']",13,-1,[],False,00:00:30
The bomb weighing 6kg was inside a box fitted with an electronic detonator.,"['bomb', 'box']",4,-1,[],False,00:00:18
The Mother Superior is a member of the corporation.,"['Mother Superior', 'corporation']",12,-1,[],False,00:00:18
"The army of Israel was utterly defeated and its camp ransacked, which terribly augmented the horrors and disasters of the rout of Saul's army.","['rout', 'army']",18,1,"('army', 'rout')",False,00:00:17
The feed wire connecting the two blades of the antenna has a length of 4 mm and a radius of 0.01 mm.,"['blades', 'antenna']",2,-1,[],False,00:00:19
"On the other hand, sentry tools are used by sentries in order to defend against spies.","['tools', 'sentries']",10,1,"('sentries', 'tools')",True,00:00:31
"The sword was taken from his small hands, and placed back in its place on the wall.","['sword', 'hands']",8,1,"('hands', 'sword')",True,00:00:36
A woman applies the patch to the skin of her abdomen or buttock for three and a half weeks.,"['woman', 'patch']",11,-1,[],False,00:00:33
The student took the note to the class room.,"['note', 'class room']",6,-1,[],False,00:00:35
"As a little boy, he learned about politics from the parodies done on Saturday Night Live.","['politics', 'parodies']",15,0,"('politics', 'parodies')",False,00:00:27
The actress willingly moved into a rehabilitation center in California.,"['actress', 'center']",6,-1,[],False,00:00:26
The priority of hoisting locations depends on the rig of the vessel.,"['rig', 'vessel']",2,-1,[],False,00:00:26
I kept a spray bottle with vinegar in it.,"['bottle', 'vinegar']",5,-1,[],False,00:00:31
The frame encloses a rectangular picture that has the same area as the frame itself.,"['frame', 'picture']",4,-1,[],False,00:00:18
My eyes have seen the defeat of my adversaries; my ears have heard the rout of my wicked foes.,"['rout', 'foes']",18,1,"('foes', 'rout')",False,00:00:21
The lid of the anthropoid coffin of Khonstefnakht dates from the 4th century BC.,"['lid', 'coffin']",2,1,"('coffin', 'lid')",False,00:00:32
"On the studio version, the song breaks wide open after the second chorus with a string section as Ryan rips up the harmonica.","['song', 'chorus']",3,-1,[],False,00:00:24
Dolphins created tools to use for entertainment.,"['Dolphins', 'tools']",17,0,"('Dolphins', 'tools')",False,00:00:20
This system proved to be effective during the earthquake; only one large painting fell from an interior wall which apparently took an unusually strong jolt.,"['painting', 'wall']",8,1,"('wall', 'painting')",False,00:00:20
My dog has a little red ball on his snout.,"['dog', 'snout']",3,-1,[],False,00:00:22
Employees increasingly are turning to medication - and away from therapy - to treat depression.,"['Employees', 'medication']",11,0,"('Employees', 'medication')",False,00:00:15
Down the winding path which curved among the rocks the little train of baggage camels was daintily picking its way.,"['train', 'camels']",13,1,"('camels', 'train')",True,00:00:36
He packed the sandwiches into a knapsack.,"['sandwiches', 'knapsack']",6,-1,[],False,00:00:46
The frustration during this period was reflected in comments published in The Youngstown Daily Vindicator.,"['frustration', 'comments']",15,0,"('frustration', 'comments')",False,00:00:10
Koak et al 14 reported a case of such transformation in an enchondroma of the distal phalanx of a toe.,"['phalanx', 'toe']",2,-1,[],False,00:00:24
"Some are just strange such as parliament of owls, a knob of pochards, a cohort of zebras.","['knob', 'pochards']",13,-1,[],False,00:00:19
"In the Lower Mainland, 2003 saw the usual raft of architectural turkeys, with our highest density of under-achieving, view-gobbling buildings in the flock of new condo towers under construction in Downtown South.","['raft', 'turkeys']",13,-1,[],False,00:00:35
Get on board before the train leaves the station.,"['train', 'station']",8,-1,[],False,00:00:23
The wastes leaked from these tanks have been in contact with surrounding soils and vadose sediments for decades and have undergone significant geochemical and radiological transformations.,"['wastes', 'tanks']",8,1,"('tanks', 'wastes')",False,00:00:15
I sent the payment to the registered email address in sandbox.,"['payment', 'email address']",6,-1,[],False,00:00:22
The bus departed from Panaji bus stand at six a.m. and reached Mangalore the same day at four in the evening.,"['bus', 'stand']",8,-1,[],False,00:00:24
The first part teaches the alphabet along with a fruit or vegetable.,"['part', 'alphabet']",14,-1,[],False,00:00:27
"The most famous unkindness of six ravens at the Tower of London are employees, kept on staff at the expense of the British government.","['unkindness', 'ravens']",13,-1,[],False,00:00:26
The course scaled the mountain via a very muddy run-up.,"['course', 'run-up']",3,-1,[],False,00:00:18
Another misconception I see often is a fuzzy idea of the difference between the copy constructor and the assignment operator.,"['assignment', 'operator']",18,-1,[],False,00:00:29
"A regiment of Swiss pikemen recaptured some of their former glory during the Battle of Dreux in 1562, when they singlehandedly defended the city of Dreux long enough for the Catholic army to send in reinforcements.","['regiment', 'pikemen']",13,-1,[],False,00:00:25
The gunmen ran away from the scene.,"['gunmen', 'scene']",8,-1,[],False,00:00:37
The barbels of the exposed catfish curled within 2 hours in heptachlor.,"['barbels', 'catfish']",2,-1,[],False,00:00:41
"Optic lobes of the brain are connected to the eyes by the optic nerve, Cranial Nerve 1.","['lobes', 'brain']",2,-1,[],False,00:00:21
"Under this completed contract, workgangs made up almost entirely of Mormons built the Union Pacific track in the Utah territory.","['workgangs', 'track']",17,0,"('workgangs', 'track')",False,00:00:16
"The letter was sent from the deathbed of the former KGB spy, Alexander Litvinenko, who died this Saturday after being poisoned with radioactive poison earlier in the month.","['letter', 'deathbed']",8,1,"('deathbed', 'letter')",False,00:00:28
The Nhibitor protein is transported into the mitochondria.,"['protein', 'mitochondria']",6,-1,[],False,00:00:27
The marijuana in the bed was in a suitcase.,"['marijuana', 'suitcase']",4,-1,[],False,00:00:17
The user has entered his password into an authorized system.,"['password', 'system']",6,-1,[],False,00:00:33
"To the left is drinking equipment, sitting in a wooden box.","['equipment', 'box']",4,-1,[],False,00:00:12
"The genome comprises 4411529 base pairs, contains around 4000 genes, and has a very high guanine + cytosine content.","['genome', 'genes']",3,0,"('genome', 'genes')",True,00:00:35
The discharge started from the burst pulse corona.,"['discharge', 'corona']",18,1,"('corona', 'discharge')",False,00:00:14
"The Clippers, in contrast, are a prickle of hedgehogs without a common goal.","['prickle', 'hedgehogs']",13,-1,[],False,00:00:22
"Accidentally, acid was dropped into the pool.","['acid', 'pool']",6,-1,[],False,00:00:38
"The standard soccer ball is made of synthetic leather, usually polyurethane or polyvinyl chloride, stitched around an inflated rubber or rubber-like bladder.","['ball', 'leather']",8,1,"('leather', 'ball')",False,00:00:27
The artist's development toolkit is one of a series of interactive artist's tookits.,"['artist', 'toolkit']",11,0,"('artist', 'toolkit')",False,00:00:20
A US aircraft was dropped into a difficult landing in Mali.,"['aircraft', 'landing']",18,0,"('aircraft', 'landing')",False,00:00:25
"This barbell toy has an acrylic ring to rattle and lots of dots to ""tongue"".","['toy', 'ring']",3,0,"('toy', 'ring')",False,00:00:22
The head of the team has gathered a very dynamic and productive team.,"['head', 'team']",12,0,"('head', 'team')",False,00:00:23
"Each warrior carries a sime, or spatulate-shaped sword, in a leather sheath, and bears a bow and quiver of poisoned arrows.","['quiver', 'arrows']",5,-1,[],False,00:00:30
Even the fan blades inside the engine are designed to be quieter.,"['blades', 'engine']",2,-1,[],False,00:00:27
"The first parcel he found was a rouleau of fifty dollars, the coins not having burst the paper enveloping them.","['rouleau', 'dollars']",3,-1,[],False,00:00:20
"Sam Houghton, a five-year old boy from Buxton, Derbyshire, patented an invention after coming up with an idea for a labour-saving broom to help his father sweep up leaves.","['boy', 'idea']",17,0,"('boy', 'idea')",False,00:00:16
