sentence,entities,gt_relation,pred_relation,pred_edge,is_edge_test_contradictory,exec_time
The most common audits were about waste and recycling.,"['audits', 'waste']",14,1,"('waste', 'audits')",False,00:00:47
The company fabricates plastic chairs.,"['company', 'chairs']",17,0,"('company', 'chairs')",False,00:00:44
The school master teaches the lesson with a stick.,"['master', 'stick']",11,0,"('master', 'stick')",False,00:00:44
The suspect dumped the dead body into a local reservoir.,"['body', 'reservoir']",6,-1,[],False,00:00:36
Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus.,"['influenza', 'virus']",1,1,"('virus', 'influenza')",False,00:00:45
The ear of the African elephant is significantly larger--measuring 183 cm by 114 cm in the bush elephant.,"['ear', 'elephant']",2,1,"('elephant', 'ear')",True,00:01:13
A child is told a lie for several years by their parents before he/she realizes that a Santa Claus does not exist.,"['lie', 'parents']",16,1,"('parents', 'lie')",False,00:00:36
"Skype, a free software, allows a hookup of multiple computer users to join in an online conference call without incurring any telephone costs.","['hookup', 'users']",13,1,"('users', 'hookup')",True,00:01:23
The disgusting scene was retaliation against her brother Philip who rents the room inside this apartment house on Lombard street.,"['room', 'house']",2,1,"('house', 'room')",True,00:01:20
This thesis defines the clinical characteristics of amyloid disease.,"['thesis', 'clinical characteristics']",14,-1,[],False,00:00:41
Ten million quake survivors moved into makeshift houses.,"['survivors', 'houses']",6,-1,[],False,00:01:07
"On a friend's advice, I purchased a sauerkraut and kimchi maker here and it is just fabulous (and cheap too).","['kimchi', 'maker']",18,1,"('maker', 'kimchi')",False,00:00:45
NASA Kepler mission sends names into space.,"['names', 'space']",6,-1,[],False,00:01:01
"As a landscape company in Atlanta, we know which plants thrive in this planting zone and know the optimum landscaping designs for local yards and business.","['landscape', 'company']",16,1,"('company', 'landscape')",True,00:01:07
"As I was contemplating if I had a favorite in the pink category, a gift arrived from a sweet friend.","['gift', 'friend']",8,1,"('friend', 'gift')",False,00:00:40
The male took over the entire care of the young that had left the nest.,"['young', 'nest']",8,-1,[],False,00:01:19
The famous actress arrived at the airport.,"['actress', 'airport']",6,-1,[],False,00:00:44
An FTP server is an inexpensive and relatively simple to operate tool that works great for filesharing over the internet.,"['filesharing', 'internet']",18,1,"('internet', 'filesharing')",False,00:00:22
"Beneath this invocation there is a zoo of fearsome beasts, including several man-eaters, as well as sphinxes with lions' bodies and human heads.","['zoo', 'beasts']",13,-1,[],False,00:01:14
The song was composed for a famous Brazilian musician.,"['song', 'musician']",16,1,"('musician', 'song')",False,00:00:28
"This outline focuses on spirituality, esotericism, mysticism, religion and/or parapsychology.","['outline', 'spirituality']",14,-1,[],False,00:00:40
The bomb was in a suitcase loaded in Frankfurt and transferred to the doomed Boeing 747 in London.,"['bomb', 'suitcase']",4,-1,[],False,00:01:27
I spent a year working for a software company to pay off my college loans.,"['software', 'company']",16,1,"('company', 'software')",False,00:00:48
The captain and the crew of the Steve Irwin are grateful for the support of the City of Fremantle and Mayor Brad Pettitt for hosting the event.,"['captain', 'crew']",18,-1,[],False,00:00:34
Organic sesame oil has an anti-bacterial and anti imflammatory effect.,"['sesame', 'oil']",9,0,"('sesame', 'oil')",True,00:00:55
Mileson has sold his humble abode to a housing developer.,"['housing', 'developer']",16,1,"('developer', 'housing')",True,00:01:26
"The same effect is achieved the traditional way, with a team of workers like Keebler elves.","['effect', 'way']",1,1,"('way', 'effect')",False,00:00:33
"He has built a formidable reputation writing powerful dramas for the stage and screen, based on real events or socially vital issues.","['dramas', 'real events']",18,1,"('real events', 'dramas')",False,00:00:50
He produces drawings and videos that have been shown in museums in Europe and America.,"['drawings', 'museums']",18,-1,[],False,00:00:44
"Therefore, nowadays China is the complex mixture of different cultures from various epochs.","['cultures', 'epochs']",8,1,"('epochs', 'cultures')",False,00:00:38
"Of the hundreds of strains of avian influenza A viruses, only four have caused human infections: H5N1, H7N3, H7N7, and H9N2.","['viruses', 'infections']",0,0,"('viruses', 'infections')",False,00:00:29
Many of his literary pieces narrate and mention stories that took place in Lipa.,"['pieces', 'stories']",14,-1,[],False,00:00:59
"When I'm walking alone, I count the steps of the stairs, and I also guess approximately how many steps are left till I reach the next street.","['steps', 'stairs']",2,1,"('stairs', 'steps')",False,00:00:43
"Essentially, the blisters that appear in the mouth are caused by the herpes simplex virus type 1, HSV-1 for short.","['blisters', 'herpes simplex virus']",16,1,"('herpes simplex virus', 'blisters')",False,00:00:23
"The man at the helm was watching the luff of the sail and whistling away gently to himself, and that was the only sound excepting the swish of the sea.","['luff', 'sail']",2,1,"('sail', 'luff')",True,00:01:21
"Still further, the circuit comprises a digital adder and an analog-to-digital converter with an analog input connected to the output of the operational amplifier and a digital output connected to a first input of the digital adder.","['circuit', 'converter']",3,0,"('circuit', 'converter')",True,00:10:54
"Dolf Oehler, a leader in the leftist camp of Heine champions since the 1970s, gathered a group of likeminded critics for this symposium.","['camp', 'champions']",13,0,"('camp', 'champions')",True,00:01:26
"The cartridge was marked as empty, even with ink in both chambers.","['cartridge', 'ink']",5,-1,[],False,00:00:40
A pod of sperm whales was beached on Italy's southern coast and at least five died in what experts said was a rare and puzzling mass beaching for such a large species.,"['pod', 'whales']",13,-1,[],False,00:00:42
Roundworms or ascarids are caused by an intestinal parasite called Toxocara canis.,"['Roundworms', 'parasite']",16,1,"('parasite', 'Roundworms')",False,00:00:25
"The subject of ""imply"" is the source of an implication while the subject of ""infer"" is the recipient of an implication.","['subject', 'implication']",0,0,"('subject', 'implication')",False,00:00:48
My cat has a problem with his paw.,"['cat', 'paw']",3,-1,[],False,00:01:49
The treaty establishes a double majority rule for Council decisions.,"['treaty', 'rule']",0,0,"('treaty', 'rule')",False,00:00:35
The accident has spread oil into the ocean.,"['oil', 'ocean']",6,-1,[],False,00:01:01
A tidal wave of talent has emanated from this lush village.,"['talent', 'village']",8,1,"('village', 'talent')",False,00:00:30
These coins are enclosed in a clear hard plastic case with a blue background that is packaged in a blue box.,"['coins', 'plastic case']",4,-1,[],False,00:01:25
"By dividing the space in a kitchen drawer where you keep all your cooking utensils, you grouped items by size or purpose.","['space', 'drawer']",18,-1,[],False,00:00:51
"Then, the target PET bottle was put inside of a metal container, which was grounded.","['bottle', 'container']",6,-1,[],False,00:00:33
News programs commented on the violence from the game and expressed worries on how it would affect the players' personalities.,"['News programs', 'violence']",14,-1,[],False,00:00:52
The narrative comprises the interplay of two themes that are woven together as it criss-crosses back and forth between the life of nineteen year old Greg Kowalski's desire to become a firefighter and his heart-rending life growing up in Saginaw Michigan where he had to endure the physical and verbal abuse handed out by his appalling father.,"['narrative', 'interplay']",18,-1,[],False,00:01:21
"As Vinay collapsed in pain, the villagers poured acid into his eyes.","['acid', 'eyes']",6,0,"('acid', 'eyes')",True,00:01:11
The room was filled with huge Jack-the-Dripper canvases.,"['room', 'canvases']",18,-1,[],False,00:00:58
The gulp of magpies just left after a quick breakfast of peanuts and cookie crumbs.,"['gulp', 'magpies']",13,-1,[],False,00:00:49
"The proposal was debated and enthusiastically endorsed in 2002 by a convocation of international scholars that included many prominent academics, among them scientists of the stature of the late H. Curien, H. Varmus, P. Crutzen and J. Sachs.","['convocation', 'scholars']",18,1,"('scholars', 'convocation')",True,00:01:18
"In South Africa, which has one of the best police to public ratios on the continent, the share of murders that result in a conviction is about 18%, compared to 56% in the US and 61% in the UK.","['murders', 'conviction']",0,0,"('murders', 'conviction')",False,00:00:40
A group of monkeys who escaped from an enclosure at Edinburgh Zoo are one step from being caught.,"['monkeys', 'enclosure']",8,-1,[],False,00:01:04
People now post their opinions to this blog.,"['opinions', 'blog']",18,-1,[],False,00:00:56
Traffic vibrations on the street outside had caused the movement of the light.,"['vibrations', 'movement']",0,0,"('vibrations', 'movement')",False,00:00:23
